single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,Cluster
0,0,0,0,7,0,0,0,0,13,182,0,0
0,0,0,0,7,0,0,0,0,13,127,0,0
0,0,0,0,7,0,0,0,0,13,125,0,0
0,0,0,0,7,0,0,0,0,13,127,0,0
0,0,0,0,7,0,0,0,0,13,172,0,0
0,0,0,0,7,0,0,0,0,13,139,0,0
0,0,0,0,7,0,0,0,0,13,139,0,0
0,0,0,0,7,0,0,0,0,13,140,0,0
0,0,0,0,7,0,0,0,0,13,140,0,0
0,0,0,0,7,0,0,0,0,13,162,0,0
0,0,0,0,5,0,0,0,0,13,137,1,0
0,0,0,0,5,0,0,0,0,13,182,1,0
0,0,0,0,5,0,0,0,0,13,137,1,0
0,0,0,0,5,0,0,0,0,13,182,1,0
0,0,0,0,5,0,0,0,0,13,127,0,0
0,0,0,0,5,0,0,0,0,13,174,0,0
0,0,0,0,5,0,0,0,0,13,119,0,0
0,0,0,0,5,0,0,0,0,13,117,0,0
0,0,0,0,5,0,0,0,0,13,119,0,0
0,0,0,0,5,0,0,0,0,13,164,0,0
0,0,0,0,5,0,0,0,0,13,131,0,0
0,0,0,0,5,0,0,0,0,13,131,0,0
0,0,0,0,5,0,0,0,0,13,132,0,0
0,0,0,0,5,0,0,0,0,13,132,0,0
0,0,0,0,5,0,0,0,0,13,154,0,0
0,0,0,0,7,0,0,0,0,13,134,0,0
0,0,0,0,0,0,0,0,0,12,51,0,1
0,0,0,0,0,0,0,0,0,8,52,1,1
0,0,0,0,7,0,0,0,0,13,137,0,0
0,0,0,0,0,0,0,0,0,8,55,1,1
0,0,0,0,0,0,0,0,0,12,54,0,1
0,0,0,0,7,0,0,0,0,13,133,0,0
0,0,0,0,0,0,0,0,0,8,51,1,1
0,0,0,0,0,0,0,0,0,57,0,0,1
0,0,0,0,0,0,0,0,0,12,50,0,1
0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,7,0,0,0,0,13,146,0,0
0,0,0,0,0,0,0,0,0,8,64,1,1
0,0,0,0,0,0,0,0,0,60,0,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,0,0,0,0,0,64,0,0,1
0,0,0,0,0,0,0,0,0,43,0,0,1
0,0,0,0,0,0,0,0,0,12,63,0,1
0,0,0,0,7,0,0,0,0,13,149,0,0
0,0,0,0,0,0,0,0,0,8,67,1,1
0,0,0,0,0,0,0,0,0,56,0,0,1
0,0,0,0,0,0,0,0,0,45,0,0,1
0,0,0,0,0,0,0,0,0,46,0,0,1
0,0,0,0,0,0,0,0,0,12,66,0,1
0,0,0,0,0,0,0,0,0,60,0,0,1
0,0,0,0,7,0,0,0,0,13,127,0,0
0,0,0,0,0,0,0,0,0,48,0,0,1
0,0,0,0,0,0,0,0,0,8,45,1,1
0,0,0,0,0,0,0,0,0,69,0,0,1
0,0,0,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,0,0,42,0,0,1
0,0,0,0,0,0,0,0,0,12,44,0,1
0,0,0,0,0,0,0,0,0,73,0,0,1
0,0,0,0,7,0,0,0,0,13,130,0,0
0,0,0,0,0,0,0,0,0,83,0,0,1
0,0,0,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,0,0,8,48,1,1
0,0,0,0,0,0,0,0,0,51,0,0,1
0,0,0,0,0,0,0,0,0,72,0,0,1
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,55,0,0,1
0,0,0,0,0,0,0,0,0,12,47,0,1
0,0,0,0,0,0,0,0,0,76,0,0,1
0,0,0,0,7,0,0,0,0,13,126,0,0
0,0,0,0,0,0,0,0,0,44,0,0,1
0,0,0,0,0,0,0,0,0,86,0,0,1
0,0,0,0,0,0,0,0,0,8,44,1,1
0,0,0,0,0,0,0,0,0,50,0,0,1
0,0,0,0,0,0,0,0,0,47,0,0,1
0,0,0,0,0,0,0,0,0,58,0,0,1
0,0,0,0,0,0,0,0,0,57,0,0,1
0,0,0,0,0,0,0,0,0,54,0,0,1
0,0,0,0,0,0,0,0,0,12,43,0,1
0,0,0,0,7,0,0,0,0,13,139,0,0
0,0,0,0,0,0,0,0,0,82,0,0,1
0,0,0,0,0,0,0,0,0,40,0,0,1
0,0,0,0,0,0,0,0,0,8,57,1,1
0,0,0,0,0,0,0,0,0,53,0,0,1
0,0,0,0,0,0,0,0,0,60,0,0,1
0,0,0,0,0,0,0,0,0,35,0,0,1
0,0,0,0,0,0,0,0,0,36,0,0,1
0,0,0,0,0,0,0,0,0,12,56,0,1
0,0,0,0,0,0,0,0,0,57,0,0,1
0,0,0,0,0,0,0,0,0,95,0,0,1
0,0,0,0,0,0,0,0,0,53,0,0,1
0,0,0,0,7,0,0,0,0,13,142,0,0
0,0,0,0,0,0,0,0,0,8,60,1,1
0,0,0,0,0,0,0,0,0,49,0,0,1
0,0,0,0,3,0,0,0,0,84,0,0,1
0,0,0,0,0,0,0,0,0,63,0,0,1
0,0,0,0,0,0,0,0,0,38,0,0,1
0,0,0,0,0,0,0,0,0,39,0,0,1
0,0,0,0,0,0,0,0,0,53,0,0,1
0,0,0,0,0,0,0,0,0,12,59,0,1
0,0,0,0,0,0,0,0,0,98,0,0,1
0,0,0,0,0,0,0,0,0,40,0,0,1
0,0,0,0,7,0,0,0,0,13,143,0,0
0,0,0,0,0,0,0,0,0,8,52,1,1
0,0,0,0,0,0,0,0,0,56,0,0,1
0,0,0,0,3,0,0,0,0,87,0,0,1
0,0,0,0,0,0,0,0,0,62,0,0,1
0,0,0,0,0,0,0,0,0,41,0,0,1
0,0,0,0,0,0,0,0,0,34,0,0,1
0,0,0,0,0,0,0,0,0,35,0,0,1
0,0,0,0,0,0,0,0,0,66,0,0,1
0,0,0,0,0,0,0,0,0,12,45,0,1
